bug_severity,priority,product,version,op_sys,assigned_to,bug_status,resolution,short_desc
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,"CVE-2022-21365 OpenJDK: Integer overflow in BMPImageReader (ImageIO, 8273838)"
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,"CVE-2022-21366 OpenJDK: Excessive memory allocation in TIFF*Decompressor (ImageIO, 8274096)"
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,"CVE-2022-21540 OpenJDK: class compilation issue (Hotspot, 8281859)"
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,"CVE-2022-21541 OpenJDK: improper restriction of MethodHandle.invokeBasic() (Hotspot, 8281866)"
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,"CVE-2022-23816, CVE-2022-29900 - hw: cpu: AMD: RetBleed Arbitrary Speculative Code Execution with Return Instructions"
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-23825 - hw: cpu: AMD:  Branch Type Confusion (non-retbleed)
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-24448 kernel: nfs_atomic_open() returns uninitialized data instead of ENOTDIR
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-24765 git: On multi-user machines Git users might find themselves unexpectedly in a Git worktree
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-24959 kernel: memory leak in yam_siocdevprivate() in drivers/net/hamradio/yam.c
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2522 vim: Buffer overflow in autocmd.
serious,Backlog,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-25265 kernel: Executable Space Protection Bypass
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2571 vim: Heap-based Buffer Overflow in vim
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2580 vim: Out-of-bounds Read in  vim
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2581 vim: Out-of-bounds Read in vim src/regexp.c
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2598 vim: Undefined Behavior for Input to API in vim
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-26966 kernel: heap memory leak in drivers/net/usb/sr9700.c
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-27223 kernel: In drivers/usb/gadget/udc/udc-xilinx.c the endpoint index is not validated
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-27943 gcc:  rust demangler stack overflow
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2816 vim: out-of-bounds read in check_vim9_unlet() at src/vim9cmds.c
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2817 vim: heap use-after-free in string_quote() at src/strings.c
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-2819 vim: heap buffer overflow in compile_lock_unlock() at src/vim9cmds.c
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-28735 grub2: shim_lock verifier allows non-kernel files to be loaded
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-28737 shim: Buffer overflow when loading crafted EFI images
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-29154 rsync: remote arbitrary files write inside the directories of connecting peers
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-29901 - hw: cpu: Intel: RetBleed Arbitrary Speculative Code Execution with Return Instructions
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-30629 golang: crypto/tls: session tickets lack random ticket_age_add
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-30630 golang: io/fs: stack exhaustion in Glob
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-30631 golang: compress/gzip: stack exhaustion in Reader.Read
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-30632 golang: path/filepath: stack exhaustion in Glob
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-30633 golang: encoding/xml: stack exhaustion in Unmarshal
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-30635 golang: encoding/gob: stack exhaustion in Decoder.Decode
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32081 mysql: use-after-poison in Storage
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32082 mysql:  Buffer overflow.
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32083 mariadb: server crash at Item_subselect::init_expr_cache_tracker
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32084 mariadb: Server SEGV issue
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32085 mariadb: server crash in Item_func_in::cleanup/Item::cleanup_processor
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32086 mariadb: server crash in Item_field::fix_outer_field for INSERT SELECT
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32087 mariadb: server crash in Item_args::walk_args
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32088 mariadb:  segmentation fault via the component Exec_time_tracker
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32089 mariadb: segmentation fault via the component st_select_lex_unit
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32091 mariadb: use-after-poison in in __interceptor_memset.
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32148 golang: net/http/httputil: NewSingleHostReverseProxy - omit X-Forwarded-For not working
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,"CVE-2022-32189 golang: math/big: decoding big.Float and big.Rat types can panic if the encoded message is too short, potentially allowing a denial of service"
critical,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32292 connman:  heap buffer overflow in gweb/gweb.c
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-32293 connman:  man-in-the-middle attack against a WISPR HTTP.
normal,P3,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-33981 kernel: use-after-free in floppy driver may lead to a DoS
serious,P2,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-34918 kernel: heap overflow in nft_set_elem_init()
normal,P5,CGX 3.1,unspecified,---,secbugz@mvista.com,NEW,,CVE-2022-35737 sqlite: assertion failure via query when compiled with -DSQLITE_ENABLE_STAT4
