bug_id,"bug_severity","priority","op_sys","product","component","version","assigned_to","bug_status","resolution","short_desc"
126942,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-3268 kernel:  out-of-bounds access in relay_file_read"
126970,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-3141 kernel: Use after free bug in r592_remove"
126981,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-3159 kernel: use after free issue in driver/firewire in outbound_phy_packet_callback"
126988,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-3161 kernel: fbcon: shift-out-of-bounds in fbcon_set_font()"
127000,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-35824 kernel: dm1105: race condition leading to use-after-free in dm1105_remove.c()"
127016,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-35827 kernel: ravb: race condition leading to use-after-free in ravb_remove()"
126443,"critical","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-36694 linux_kernel:  use-after-free in netfilter"
126446,"critical","Backlog","---","CentOS","Kernel","7.8 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-36694 linux_kernel:  use-after-free in netfilter"
126447,"critical","Backlog","---","CentOS","Kernel","7.7 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-36694 linux_kernel:  use-after-free in netfilter"
126449,"critical","Backlog","---","CentOS","Kernel","7.6 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-36694 linux_kernel:  use-after-free in netfilter"
118358,"critical","Backlog","---","CentOS","Kernel","7.6 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-1012 kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak"
118356,"critical","Backlog","---","CentOS","Kernel","7.7 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-1012 kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak"
118355,"critical","Backlog","---","CentOS","Kernel","7.8 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-1012 kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak"
118360,"critical","Backlog","---","CentOS","Kernel","7.5 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-1012 kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak"
118352,"critical","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-1012 kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak"
116157,"critical","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-20322 kernel: new DNS Cache Poisoning Attack based on ICMP fragment needed packets replies"
116165,"critical","Backlog","---","CentOS","Kernel","7.5 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-20322 kernel: new DNS Cache Poisoning Attack based on ICMP fragment needed packets replies"
116161,"critical","Backlog","---","CentOS","Kernel","7.7 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-20322 kernel: new DNS Cache Poisoning Attack based on ICMP fragment needed packets replies"
116163,"critical","Backlog","---","CentOS","Kernel","7.6 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-20322 kernel: new DNS Cache Poisoning Attack based on ICMP fragment needed packets replies"
126450,"critical","Backlog","---","CentOS","Kernel","7.5 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-36694 linux_kernel:  use-after-free in netfilter"
127179,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-1206 kernel: hash collisions in the IPv6 connection lookup table"
127670,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-20593 (Zenbleed) hw: amd: Cross-Process Information Leak"
127816,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-3772 kernel: xfrm: NULL pointer dereference in xfrm_update_ae_params()"
127828,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4010 kernel: usb: hcd: malformed USB descriptor leads to infinite loop in usb_giveback_urb()"
126258,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-31084 linux_kernel: Incorrect locking in dvb_frontend_get_event"
126668,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-2002 Kernel: bluetooth: Unauthorized management command execution"
126086,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-28328 Kernel: A denial of service issue in  az6027 driver in drivers/media/usb/dev-usb/az6027.c"
127994,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-3567 kernel: use after free in vcs_read in drivers/tty/vt/vc_screen.c due to race"
128091,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4387 kernel: vmxnet3: use-after-free in vmxnet3_rq_alloc_rx_buf()"
128097,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4622 kernel: use after free in unix_stream_sendpage"
129065,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-40283 kernel: use-after-free in l2cap_sock_release in net/bluetooth/l2cap_sock.c"
129079,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4132 kernel: smsusb: use-after-free caused by do_submit_urb()"
129086,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4133 kernel: cxgb4: use-after-free in ch_flower_stats_cb()"
129115,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4244 kernel: Use-after-free in nft_verdict_dump due to a race between set GC and transaction"
129130,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-42753 kernel: netfilter: potential slab-out-of-bound access due to integer underflow"
129172,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4459 kernel: vmxnet3: NULL pointer dereference in vmxnet3_rq_cleanup()"
129193,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4623 kernel: net/sched: sch_hfsc UAF"
129207,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-4921 linux_kernel: use-after-free in sch_qfq network scheduler"
129281,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-39192 kernel: netfilter: xtables out-of-bounds read in u32_match_it()"
129288,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-39193 kernel: netfilter: xtables sctp out-of-bounds read in match_flags()"
129299,"critical","P2","---","CentOS","Kernel","8.3 Standard","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129300,"critical","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129302,"critical","P2","---","CentOS","Kernel","8.1 Standard","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129303,"critical","P2","---","CentOS","Kernel","7.8 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129304,"critical","P2","---","CentOS","Kernel","7.7 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129306,"critical","P2","---","CentOS","Kernel","7.6 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129307,"critical","P2","---","CentOS","Kernel","7.5 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129397,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-5717 kernel: A heap out-of-bounds write"
129426,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-42755 kernel: rsvp: out-of-bounds read in rsvp_classify()"
129606,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-45862 kernel: drivers/usb/storage/ene_ub6250.c"
129613,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-45863 kernel: lib/kobject.c vulnerable to fill_kobj_path out-of-bounds write"
129627,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-46813 kernel: SEV-ES local priv escalation"
129675,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-1476 kpatch: mm/mremap.c: incomplete fix for CVE-2022-41222"
129682,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-47233 kernel: Use after free in brcmf_cfg80211_escan_timeout_worker in drivers/net/wireless/broadcom/brcm80211/brcmfmac/cfg80211.c"
129789,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-0066  kernel: race condition in netlink driver."
129891,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-6238 kernel: nvme: memory corruption via unprivileged user passthrough"
130095,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-39198 kernel: QXL: race condition leading to use-after-free in qxl_mode_dumb_create()"
130255,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-4662 kernel: Recursive locking violation in usb-storage that can cause the kernel to deadlock"
130269,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-4543 kernel: KASLR Prefetch Bypass Breaks KPTI"
130396,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-0404 kernel: avoid cyclic entity chains due to malformed USB descriptors"
130403,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-50431 kernel: information leak in sec_attest_info"
130507,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-6931 kernel: Out of boundary write in perf_read_group() as result of overflow a perf_event's read_size"
130514,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-6932 kernel: use-after-free in IPv4 IGMP"
130521,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-6121 kernel: NVMe: info leak due to out-of-bounds read in nvmet_ctrl_find_get"
130528,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-51780 kernel: use-after free in net/atm/ioctl.c"
130535,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-51781  kernel: use after free in  net/appletalk/ddp.c"
130542,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-51782 kernel:  Use after free in net/rose/af_rose.c"
130564,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-6546 kernel: GSM multiplexing race condition leads to privilege escalation"
130571,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-6817 kernel: inactive elements in nft_pipapo_walk"
130590,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-7042 kernel: null pointer dereference in ath10k_wmi_tlv_op_pull_mgmt_tx_compl_ev()"
130655,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-7192 kernel: refcount leak in ctnetlink_create_conntrack()"
130662,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2024-0193 kernel: netfilter: use-after-free in nft_trans_gc_catchall_sync leads to privilege escalation"
130702,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-6270 kernel: AoE: improper reference count leads to use-after-free vulnerability"
130724,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-3600 kernel: eBPF 32-bit source register truncation on div/mod"
130746,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2024-0340 kernel: Information disclosure in vhost/vhost.c:vhost_new_msg()"
