bug_id,"product","component","version","bug_severity","priority","op_sys","status_whiteboard","assigned_to","bug_status","resolution","short_desc"
126981,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-3159 kernel: use after free issue in driver/firewire in outbound_phy_packet_callback"
126988,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-3161 kernel: fbcon: shift-out-of-bounds in fbcon_set_font()"
126934,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-3212 kernel: gfs2: NULL pointer dereference in gfs2_evict_inode()"
128739,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-32636 glib: Timeout in fuzz_variant_text"
128833,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-32665 glib: GVariant deserialisation does not match spec for non-normal data"
126942,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-3268 kernel:  out-of-bounds access in relay_file_read"
127994,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-3567 kernel: use after free in vcs_read in drivers/tty/vt/vc_screen.c due to race"
127000,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-35824 kernel: dm1105: race condition leading to use-after-free in dm1105_remove.c()"
127816,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-3772 kernel: xfrm: NULL pointer dereference in xfrm_update_ae_params()"
129281,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-39192 kernel: netfilter: xtables out-of-bounds read in u32_match_it()"
129288,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-39193 kernel: netfilter: xtables sctp out-of-bounds read in match_flags()"
130095,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-39198 kernel: QXL: race condition leading to use-after-free in qxl_mode_dumb_create()"
129065,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-40283 kernel: use-after-free in l2cap_sock_release in net/bluetooth/l2cap_sock.c"
129723,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4091 samba: SMB clients can truncate files with read-only permissions"
129079,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4132 kernel: smsusb: use-after-free caused by do_submit_urb()"
129086,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4133 kernel: cxgb4: use-after-free in ch_flower_stats_cb()"
129115,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4244 kernel: Use-after-free in nft_verdict_dump due to a race between set GC and transaction"
130638,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-42465 sudo: Targeted Corruption of Register and Stack Variables"
129735,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-42669 samba: ""rpcecho"" development server allows denial of service via sleep() call on AD DC"
129130,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-42753 kernel: netfilter: potential slab-out-of-bound access due to integer underflow"
129426,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-42755 kernel: rsvp: out-of-bounds read in rsvp_classify()"
128091,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4387 kernel: vmxnet3: use-after-free in vmxnet3_rq_alloc_rx_buf()"
129172,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4459 kernel: vmxnet3: NULL pointer dereference in vmxnet3_rq_cleanup()"
128919,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4512 wireshark: DoS (crash) via packet injection or crafted capture file"
128924,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4513 wireshark: DoS (memory leak) via packet injection or crafted capture file"
129606,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45862 kernel: drivers/usb/storage/ene_ub6250.c"
129299,"CentOS","Kernel","8.3 Standard","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129300,"CentOS","Kernel","7.9 Nokia","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129302,"CentOS","Kernel","8.1 Standard","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129303,"CentOS","Kernel","7.8 Nokia","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129304,"CentOS","Kernel","7.7 Nokia","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129306,"CentOS","Kernel","7.6 Nokia","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129307,"CentOS","Kernel","7.5 Nokia","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
130363,"CentOS","Userland","8.3 Standard","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-46218 curl: information disclosure by exploiting a mixed case flaw"
130366,"CentOS","Userland","8.1 Standard","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-46218 curl: information disclosure by exploiting a mixed case flaw"
128097,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4622 kernel: use after free in unix_stream_sendpage"
129193,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4623 kernel: net/sched: sch_hfsc UAF"
129627,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-46813 kernel: SEV-ES local priv escalation"
130952,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-46838  Linux: netback processing of zero-length transmit fragment"
129576,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4693 grub2: out-of-bounds read at fs/ntfs.c"
130001,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-48706 vim: use-after-free in ex_substitute in Vim"
129207,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-4921 linux_kernel: use-after-free in sch_qfq network scheduler"
130941,"CentOS","Userland","8.1 Standard","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-50447 pillow:Arbitrary Code Execution via the environment parameter"
130410,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-50495 ncurses: segmentation fault via _nc_wrap_entry()"
130620,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-51765 sendmail: SMTP smuggling vulnerability"
130629,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-51767 openssh: authentication bypass via row hammer attack"
130528,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-51780 kernel: use-after free in net/atm/ioctl.c"
130535,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-51781  kernel: use after free in  net/appletalk/ddp.c"
130542,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-51782 kernel:  Use after free in net/rose/af_rose.c"
129397,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-5717 kernel: A heap out-of-bounds write"
130234,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-5981 gnutls: timing side-channel in the RSA-PSK authentication"
130767,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-6040 kernel: netfilter: nf_tables: out-of-bounds access in nf_tables_newtable()"
130521,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-6121 kernel: NVMe: info leak due to out-of-bounds read in nvmet_ctrl_find_get"
130823,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-6915 kernel: Null Pointer Dereference vulnerability in ida_free in lib/idr.c"
130507,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-6931 kernel: Out of boundary write in perf_read_group() as result of overflow a perf_event's read_size"
130514,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-6932 kernel: use-after-free in IPv4 IGMP"
130655,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-7192 kernel: refcount leak in ctnetlink_create_conntrack()"
130746,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2024-0340 kernel: Information disclosure in vhost/vhost.c:vhost_new_msg()"
130759,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2024-0443 kernel: blkio memory leakage due to blkcg and some blkgs are not freed after they are made offline."
130797,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2024-0565 kernel: CIFS Filesystem Decryption Improper Input Validation Remote Code Execution Vulnerability"
130850,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2024-0584 kernel: refcnt uaf issue when receiving igmp query packet in igmp_start_timer"
130901,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2024-0607 kernel: nf_tables: pointer math issue in nft_byteorder_eval()"
130922,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2024-0646 kernel: ktls overwrites readonly memory pages when using function splice with a ktls socket as destination"
130967,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2024-0775 kernel: use-after-free while changing the mount option in __ext4_remount leading"
