bug_id,"product","component","version","bug_severity","priority","op_sys","status_whiteboard","keywords","assigned_to","bug_status","resolution","short_desc"
128914,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4511 wireshark: DoS (infinite loop) via packet injection or crafted capture file"
128919,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4512 wireshark: DoS (crash) via packet injection or crafted capture file"
128924,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4513 wireshark: DoS (memory leak) via packet injection or crafted capture file"
129606,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45862 kernel: drivers/usb/storage/ene_ub6250.c"
129299,"CentOS","Kernel","8.3 Standard","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129300,"CentOS","Kernel","7.9 Nokia","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129302,"CentOS","Kernel","8.1 Standard","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129303,"CentOS","Kernel","7.8 Nokia","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129304,"CentOS","Kernel","7.7 Nokia","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129306,"CentOS","Kernel","7.6 Nokia","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
129307,"CentOS","Kernel","7.5 Nokia","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-45871 kernel: IGB driver inadequate buffer size for frames larger than MTU"
128097,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4622 kernel: use after free in unix_stream_sendpage"
129193,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4623 kernel: net/sched: sch_hfsc UAF"
129555,"CentOS","Userland","8.3 Standard","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-46316 traceroute: improper command line parsing"
129558,"CentOS","Userland","8.1 Standard","critical","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-46316 traceroute: improper command line parsing"
129627,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-46813 kernel: SEV-ES local priv escalation"
129634,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-46862 kernel: NULL pointer dereference vulnerability in io_uring_show_fdinfo"
129568,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4692 grub2: Out-of-bounds write at fs/ntfs.c may lead to unsigned code execution"
129576,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4693 grub2: out-of-bounds read at fs/ntfs.c"
128636,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4806 glibc: potential use-after-free in getaddrinfo()"
128635,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4813 glibc: potential use-after-free in gaih_inet()"
129207,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4921 linux_kernel: use-after-free in sch_qfq network scheduler"
129648,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-5178 kernel: use after free in nvmet_tcp_free_crypto in NVMe"
129641,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-5633 kernel: vmwgfx: reference count issue leads to use-after-free in surface handling"
129397,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-5717 kernel: A heap out-of-bounds write"
